,alternate_titles,artwork_208x117,artwork_304x171,artwork_448x252,artwork_608x342,container_show,first_aired,freebase,id,imdb_id,themoviedb,title,tvdb,tvrage,wikipedia_id
23,[],http://static-api.guidebox.com/091716/thumbnails_small/36131-914374595-208x117.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/36131-1668124562-304x171.jpg,http://static-api.guidebox.com/091716/thumbnails_large/36131-1097921222-448x252.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/36131-9502447405-608x342.jpg,0,2015-11-06,,36131,tt4635276,64254,Master of None,298901,"{u'link': None, u'tvrage_id': None}",47366661.0
24,[],http://static-api.guidebox.com/060515/thumbnails_small/20255-509793158-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/20255-9640197018-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_large/20255-4002682106-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/20255-8941811579-608x342-show-thumbnail.jpg,0,2014-04-29,/m/0_fphh4,20255,tt3428912,61244,Happy Valley,280537,"{u'link': u'http://www.tvrage.com/shows/id-42006', u'tvrage_id': 42006}",41685397.0
25,[u'3 percent'],http://static-api.guidebox.com/100117/thumbnails_small/41095-153125497-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/41095-3380618156-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/41095-542807607-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/41095-2887971658-608x342.jpg,0,2016-11-25,,41095,tt4922804,68467,3%,250749,"{u'link': None, u'tvrage_id': None}",48997875.0
26,[],http://static-api.guidebox.com/120214/thumbnails_small/15274-7317969766-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/120214/thumbnails_medium/15274-8911135848-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/120214/thumbnails_large/15274-7522497317-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/120214/thumbnails_xlarge/15274-5238978085-608x342-show-thumbnail.jpg,0,2013-04-19,/m/0hr0wns,15274,tt2309295,42295,Hemlock Grove,259948,"{u'link': u'http://www.tvrage.com/shows/id-33272', u'tvrage_id': 33272}",35233738.0
27,[u'Marco Polo (2014)'],http://static-api.guidebox.com/060515/thumbnails_small/35276-8737308490-208x117.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/35276-8638101876-304x171.jpg,http://static-api.guidebox.com/060515/thumbnails_large/35276-519637187-448x252.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/35276-8367859535-608x342.jpg,0,2014-12-11,/m/0k0l3g9,35276,tt2189461,60699,Marco Polo,266091,"{u'link': u'http://www.tvrage.com/shows/id-33283', u'tvrage_id': 33283}",36183226.0
28,[],http://static-api.guidebox.com/111615/thumbnails_small/36176-9396637519-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_medium/36176-6316790343-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_large/36176-9839619356-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_xlarge/36176-4649927700-608x342-show-thumbnail.jpg,0,2015-12-18,,36176,tt4326894,63522,F Is for Family,287299,"{u'link': u'http://www.tvrage.com/shows/id-45762', u'tvrage_id': 45762}",44819466.0
29,[],http://static-api.guidebox.com/091716/thumbnails_small/43794-8167419270-208x117.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/43794-6387463217-304x171.jpg,http://static-api.guidebox.com/091716/thumbnails_large/43794-5040991860-448x252.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/43794-9155082414-608x342.jpg,0,2017-07-14,,43794,tt5565334,71890,Friends From College,328972,"{u'link': None, u'tvrage_id': None}",51400830.0
30,[],http://static-api.guidebox.com/091716/thumbnails_small/36449-2908518277-208x117.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/36449-2423123988-304x171.jpg,http://static-api.guidebox.com/091716/thumbnails_large/36449-8956424682-448x252.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/36449-1336343130-608x342.jpg,0,2016-03-11,,36449,tt4973548,65315,Flaked,306249,"{u'link': u'http://www.tvrage.com/shows/id-47402', u'tvrage_id': 47402}",45222853.0
31,[u'Haters Back Off!'],http://static-api.guidebox.com/091716/thumbnails_small/39191-7790548494-208x117.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/39191-3343409291-304x171.jpg,http://static-api.guidebox.com/091716/thumbnails_large/39191-759068514-448x252.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/39191-94473404-608x342.jpg,0,2016-10-14,,39191,tt5467814,67148,Haters Back Off,313589,"{u'link': None, u'tvrage_id': None}",49101855.0
32,[],http://static-api.guidebox.com/100117/thumbnails_small/36152-9077122849-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/36152-8765111439-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/36152-8518972052-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/36152-408125194-608x342.jpg,0,2016-01-04,,36152,tt5320160,65152,Degrassi: Next Class,305913,"{u'link': None, u'tvrage_id': None}",46932504.0
33,[],http://static-api.guidebox.com/100117/thumbnails_small/46772-8390696942-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/46772-9973456664-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/46772-2774965731-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/46772-8445326625-608x342.jpg,0,2017-12-22,,46772,tt7782022,75892,Dope,339662,"{u'link': None, u'tvrage_id': None}",
34,[],http://static-api.guidebox.com/091716/thumbnails_small/37020-5693213320-208x117.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/37020-9825978390-304x171.jpg,http://static-api.guidebox.com/091716/thumbnails_large/37020-9471939303-448x252.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/37020-1751716170-608x342.jpg,0,2016-05-05,,37020,tt4003966,65466,Marseille,299825,"{u'link': u'http://www.tvrage.com/shows/id-44806', u'tvrage_id': 44806}",49069073.0
35,"[u'Wet Hot American Summer: Ten Years Later', u'Wet Hot American Summer - Ten Years Later', u'Wet Hot American Summer']",http://static-api.guidebox.com/100117/thumbnails_small/32625-9224009891-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/32625-7664913288-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/32625-8028809512-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/32625-1707849563-608x342.jpg,0,2015-07-27,,32625,tt4341500,61967,Wet Hot American Summer: First Day of Camp,294560,"{u'link': u'http://www.tvrage.com/shows/id-43844', u'tvrage_id': 43844}",45003312.0
36,[],http://static-api.guidebox.com/091716/thumbnails_small/36080-5848099254-208x117.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/36080-4891402274-304x171.jpg,http://static-api.guidebox.com/091716/thumbnails_large/36080-3772640731-448x252.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/36080-2671989724-608x342.jpg,0,2015-08-07,,36080,tt4680240,63314,Club de Cuervos,299045,"{u'link': u'http://www.tvrage.com/shows/id-48308', u'tvrage_id': 48308}",47366649.0
